obs_id,train_id,crime_type,year,month,day,hour,location,latitude,longitude
id_000001,train,2,2001,11,17,18,STREET,41.898402712,-87.6388974
id_000002,train,2,2005,8,6,11,ALLEY,41.707112071,-87.627537804
id_000003,train,3,2003,7,10,15,PARK PROPERTY,41.907047739,-87.663497879
id_000004,test,NA,2012,3,27,22,RESIDENCE,41.73576911,-87.58054668
id_000005,train,3,2004,2,8,21,STREET,41.796866589,-87.670737898
id_000006,test,NA,2004,1,31,19,STREET,41.959400713,-87.700025124
id_000007,test,NA,2012,10,21,1,RESIDENTIAL YARD (FRONT/BACK),41.974440545,-87.790320856
id_000008,valid,3,2009,8,26,1,STREET,41.940077729,-87.642282653
id_000009,valid,2,2013,10,7,20,STREET,41.699584978,-87.628081503
id_000010,train,3,2011,1,14,17,VACANT LOT/LAND,41.812583891,-87.595678052
id_000011,train,1,2009,11,8,7,APARTMENT,41.74568549,-87.611963132
id_000012,train,1,2006,9,12,22,STREET,41.737788026,-87.612941863
id_000013,valid,1,2016,6,19,18,RESIDENCE-GARAGE,41.73885903,-87.652208285
id_000014,train,2,2011,2,20,11,STREET,41.797222838,-87.653739707
id_000015,valid,1,2007,12,25,19,APARTMENT,41.655308597,-87.613159131
id_000016,train,1,2011,1,15,17,RESIDENCE,41.795248821,-87.66340174
id_000017,valid,3,2004,12,24,23,BAR OR TAVERN,41.895287937,-87.631214259
id_000018,test,NA,2011,7,14,11,SIDEWALK,41.878460682,-87.755919637
id_000019,train,3,2002,2,2,13,RESIDENCE,41.948412054,-87.644133577
id_000020,valid,1,2007,1,1,12,PARKING LOT/GARAGE(NON.RESID.),41.898680349,-87.643985382
id_000021,test,NA,2011,10,21,18,STREET,41.876610404,-87.758524981
id_000022,train,2,2011,2,5,1,STREET,41.649710333,-87.537455263
id_000023,valid,3,2016,8,29,14,RESTAURANT,41.73582089,-87.661029983
id_000024,train,2,2008,9,16,19,ALLEY,41.888229536,-87.76513795
id_000025,train,2,2013,9,24,20,SIDEWALK,41.787658582,-87.652278668
id_000026,train,1,2016,4,12,6,STREET,41.967894291,-87.71824209
id_000027,train,3,2004,3,9,14,STREET,41.855327241,-87.712890846
id_000028,train,1,2005,9,23,3,STREET,41.789911478,-87.662041878
id_000029,test,NA,2005,7,5,20,POLICE FACILITY/VEH PARKING LOT,41.787110358,-87.703370041
id_000030,train,2,2003,10,4,16,STREET,41.901244618,-87.754524263
id_000031,train,2,2003,11,14,2,STREET,41.770866209,-87.60571674
id_000032,train,2,2003,8,17,20,STREET,41.9084987,-87.759657059
id_000033,train,2,2003,1,23,11,"SCHOOL, PUBLIC, BUILDING",41.803201891,-87.72198373
