obs_id,train_id,crime_type,year,month,day,hour,location,latitude,longitude
id_000001,train,0,2001,11,17,18,STREET,41.898402712,-87.6388974
id_000003,train,1,2007,2,10,17,STREET,41.947310094,-87.650306328
id_000013,valid,0,2013,10,7,20,STREET,41.699584978,-87.628081503
id_000016,train,1,2004,9,28,2,SIDEWALK,41.910352215,-87.685087464
id_000017,valid,1,2002,6,19,19,STREET,41.802977153,-87.743027394
id_000020,valid,0,2011,2,20,11,STREET,41.797222838,-87.653739707
id_000025,train,0,2011,7,14,11,SIDEWALK,41.878460682,-87.755919637
id_000031,train,0,2008,9,16,19,ALLEY,41.888229536,-87.76513795
id_000032,train,0,2013,9,24,20,SIDEWALK,41.787658582,-87.652278668
id_000037,valid,0,2003,10,8,15,STREET,41.880957721,-87.747744993
id_000038,train,0,2003,11,15,21,STREET,41.895273654,-87.767844936
id_000040,train,0,2003,8,17,20,STREET,41.9084987,-87.759657059
id_000042,valid,1,2008,3,13,16,STREET,41.887209971,-87.765954936
id_000043,valid,1,2004,3,11,12,STREET,41.866428839,-87.703509785
id_000044,train,0,2003,1,22,17,STREET,41.884471648,-87.743706376
id_000047,train,1,2016,5,21,2,SIDEWALK,41.866023916,-87.735575126
id_000048,train,0,2007,7,13,17,SIDEWALK,41.903242472,-87.71657814
id_000053,train,1,2006,8,7,11,STREET,41.881230117,-87.682135713
id_000059,valid,0,2004,3,26,11,SIDEWALK,41.905025355,-87.709305775
id_000062,train,1,2014,8,12,20,PARKING LOT/GARAGE(NON.RESID.),41.967602242,-87.710898023
id_000063,train,1,2012,1,24,20,STREET,41.80856602,-87.668933738
id_000064,train,1,2010,1,7,7,STREET,41.881345106,-87.698754758
id_000065,valid,1,2006,7,17,7,STREET,41.851961298,-87.691153739
id_000067,train,0,2012,8,26,12,STREET,41.873788515,-87.696964272
id_000068,valid,0,2009,7,19,18,STREET,41.750370861,-87.662377041
id_000071,train,1,2001,9,25,13,STREET,41.808468467,-87.689391167
id_000073,train,1,2004,10,18,18,STREET,41.88093546,-87.709132611
id_000082,valid,0,2013,10,17,21,STREET,41.797751142,-87.61605544
id_000084,train,1,2006,9,14,20,STREET,41.800844112,-87.664762808
id_000090,train,1,2004,8,20,17,STREET,41.910870605,-87.688451145
id_000092,train,1,2008,1,29,21,STREET,41.880850198,-87.716205977
id_000093,valid,0,2016,3,24,10,BANK,41.881016537,-87.632339962
id_000096,valid,1,2003,7,17,6,STREET,41.916375298,-87.724086642
id_000107,train,0,2002,1,25,13,RESIDENCE,41.799621611,-87.655643463
id_000108,train,1,2003,10,24,21,ALLEY,41.807738845,-87.66495155
id_000113,train,0,2015,6,8,22,VEHICLE NON-COMMERCIAL,41.89765683,-87.726152565
id_000116,train,0,2004,1,30,15,STREET,41.809081165,-87.633674979
id_000120,valid,1,2001,12,21,22,STREET,41.89011049,-87.632714316
id_000123,train,0,2005,7,30,19,STREET,41.893649131,-87.714125144
id_000124,train,1,2002,1,11,21,STREET,41.889996763,-87.632965299
id_000126,train,0,2008,8,14,14,STREET,41.896206666,-87.724888091
id_000128,train,1,2005,4,23,16,HOTEL/MOTEL,41.982224277,-87.693594288
id_000130,train,0,2015,6,13,22,STREET,41.853965653,-87.679182227
id_000136,train,0,2012,5,25,14,RESIDENCE,41.863385678,-87.727526865
id_000141,valid,1,2007,3,13,22,STREET,41.790211616,-87.645053415
id_000142,train,0,2014,7,25,10,APARTMENT,41.899683801,-87.668967121
id_000144,train,1,2004,7,9,9,STREET,41.800336171,-87.742303456
id_000145,valid,1,2011,12,28,20,STREET,41.804911724,-87.664863565
id_000148,valid,1,2008,1,16,22,STREET,41.887191291,-87.767174373
id_000149,train,1,2002,5,7,23,STREET,41.886169843,-87.620686081
id_000151,valid,1,2008,2,1,19,STREET,41.799911401,-87.742952841
id_000154,train,1,2009,11,13,22,PARKING LOT/GARAGE(NON.RESID.),41.804876524,-87.743090651
id_000155,train,1,2008,10,31,6,STREET,41.88104652,-87.699348928
id_000157,train,1,2003,11,14,8,STREET,41.809135012,-87.691787056
id_000158,train,1,2013,5,16,12,STREET,41.808017107,-87.712078435
id_000159,train,1,2007,8,11,2,SIDEWALK,41.935372653,-87.717738775
id_000160,train,0,2003,6,13,13,CHA PARKING LOT/GROUNDS,41.700584371,-87.56399184
id_000161,train,1,2005,1,28,22,STREET,41.80716827,-87.743142974
id_000178,valid,1,2001,7,27,20,STREET,41.909671398,-87.746262936
id_000187,valid,1,2013,5,1,20,STREET,41.743503863,-87.60501807
id_000188,valid,0,2010,5,17,20,SIDEWALK,41.894553036,-87.719945341
id_000191,valid,1,2010,2,25,23,STREET,41.788358466,-87.664437865
id_000193,train,0,2009,3,30,23,STREET,41.750224946,-87.664650661
id_000195,train,1,2003,10,9,20,STREET,41.916395238,-87.721643126
id_000196,train,1,2006,2,10,21,STREET,41.852004263,-87.688536253
id_000202,train,0,2008,11,28,3,STREET,41.678961547,-87.637121516
id_000217,valid,1,2002,7,23,1,STREET,41.917738376,-87.698607442
id_000220,train,0,2006,5,4,24,APARTMENT,41.801538809,-87.616145232
id_000221,train,1,2016,1,7,21,STREET,41.870258256,-87.742460188
id_000226,train,1,2004,2,17,23,STREET,41.889629205,-87.632543289
id_000231,train,1,2002,7,19,9,STREET,41.881191799,-87.684578085
id_000235,train,1,2001,2,28,22,STREET,41.779200304,-87.674329474
id_000237,valid,0,2003,4,21,10,RESIDENCE PORCH/HALLWAY,41.966047906,-87.661060061
id_000238,train,0,2004,7,27,11,OTHER,41.873699424,-87.704705156
id_000241,train,1,2002,8,9,22,STREET,41.967458424,-87.659655286
id_000244,train,1,2004,5,14,1,STREET,41.917215931,-87.722190096
id_000246,train,0,2013,2,16,18,SIDEWALK,42.019367214,-87.669963926
